abandon	terketmek, bırakıp kaçmak
ace	iskambilde birli, yıldız, as, en üst düzeyde
ache	sürekli acı, ağrı, sızı
achieve	başarıyla bitirmek
achivement	başarıyla bitirilmiş şey, eser
acid	asit, asitli, ekşimsi tadı olan
acidity	asitlilik, ekşilik
acid test	mihenk taşı, sınama, deneme
acknowledge	kabul etmek, itiraf etmek, alındığını bildirmek
acknowledged	herkesce kabul edilmiş, bilinen
acknowledgement	alındı yazısı, teşekkür
acne	sivilce, akne
acorn	meşe palamudu, pelit
acoustic	işitmeyle ilgili
acoustics	kapalı yerde ses dağılımı, ses bilimi
acquaint	yakından tanıma, bilgisi olmak
acquaintance	tanıdık, bildik, tanış, malumat
acquiesce	kabul etmek, razı olmak
acquire	kazanmak, elde etmek
acqusition	kazanılmış bir şey
acquisitive	biriktirme meraklısı, kirli çıkı
acquit	beraat ettirmek, suçsuz bulmak
acre	dönüm, yaklaşık 4000 metre karelik alan
acrimonious	acı, sert, nefret dolu
acrobat	akrobat, cambaz
acrobatics	akrobasi, cambazlık
across	karşıdan karşıya, -in karşısında, rastlamak, tesadüfen bulmak
acrylic	suni, sentetik, plastik veya naylon
act	yapılan şey, hareket, fiil, tiyatroda perde, yasa, kanun, harekete geçmek, rol yapmak, etkilemek
acting	rol yapma sanatı, vekalet etmek
action	iş, hareket, eylem, etkileme, çarpışma, savaş, aleyhinde dava açmak
action replay	ağır çekimde tekrar
active	aktif, faal, etkin, etkili, çalışkan, etken, aktif çatıda
activity	canlılık, faaliyet
activate	harekete geçirmek
actor	aktör, oyuncu
actual	gerçek, asıl
actually	gerçekten, sahiden, aslında, garip ama
acumen	çabuk ve doğru karar verme yeteneği
acupuncture	akupunktur
acute	şiddetli, vahim, akut, çok iyi çalışan, keskin
ad	ilan, milattan sonra
adage	atasözü
adamant	sert, boyun eğmez
adamantly	ısrarla
adapt	farklı koşullara uyacak biçimde değişmek, uyarlamak
adaptable	yeni ihtiyaçlara uyum sağlayabilen
adaptation	uyarlama
add	toplama, eklemek, sözlerine eklemek, arttırmak
addict	tiryaki, müptela, bağımlı, düşkün
addiction	alışkanlık, düşkünlük
addicted	bağımlı olmuş
addition	eklenen bir şey, toplama
additional	katma, ilave
address	adres, nutuk, konuşma, hitab etmek, söz yöneltmek
adept	hünerli, usta, erbap
adequate	yeterli, yetecek kadar, uygun, elverişli
adhere	yapışıp kalmak, taraftar olmak
adhesive	yapışkan
adhesion	yapışma, bağlılık
adjacent	bitişik, yan yana, birbirine değen
adjective	sıfat
adjoin	bitişik olmak
adjoining	bitişik
adjourn	ertelemek, son vermek
adjunct	ek, ilave, zarf tümleci
adjust	düzeltmek, ayarlamak
adjustable	ayarlanabilir
adjustment	düzeltme, ayar
adjutant	bir askeri birliğin büro işlerinden sorumlu subay
administer	yönetmek, uygulamak, sağlamak
administration	yönetim, idare, siyasal iktidar
administrative	idari, yönetimle ilgili
administrator	yönetici, idareci
admirable	hayran eden, beğeni toplayan
admiral	amiral
admiralty	deniz kuvvetleri komutanlığı
admire	çok beğenmek, hayran olmak
admiration	hayranlık, takdir
admit	itiraf etmek, kabul etmek, içeri girmeye izin vermek
admission	itiraf, giriş
admittance	giriş, girme, kabul
admittedly	kabul etmeliyiz ki
ado	gürültü patırtı
adolescent	12-19 yaşlarındaki genç, ergen, delikanlı, yeni yetme
adolescence	ergenlik
adopt	evlat edinmek, benimsemek
adoption	evlat edinme, kabul
adore	taparcasına sevmek, bayılmak, aklı çıkmak
adorable	tapılmaya layık
adoration	tapma
adorn	süslemek, bezemek
adrenalin	adrenalin
adrift	rüzgara akıntıya kapalma
adroit	usta, mahir, elleri maharetli
adult	ergin, reşit, yetişkin, tam olarak büyümüş hayvan
adulterate	safiyetini bozmak
adultery	zina
adulterer	zina yapan erkek
adulteress	zina yapan kadın
advance	ilerlemek, öne almak, gelişme, avans
advanced	modern, çağdaş, yaşı oldukça ilerlemiş
advancement	ilerleme, gelişme
advantage	avantaj, üstünlük, yarar
advantageous	elverişli
advent	geliş, varış, Hz. İsa'nın dünyaya gelmesi, Noel'den önceki dört haftalık süre
adventure	macera, serüven
adventurous	gözü pek, maceraya istekli
adverb	zarf, belirteç
adversary	düşman, hasım, rakip
adverse	karşı, ters, aleyhte
adversity	zorluk, güçlük
advert	ilan
advertise	reklam yapmak, ilan vermek
advertisement	reklam, ilan
advertising	reklamcılık
advice	tavsiye, salık, öğüt
advise	salık vermek, tavsiye etmek, bildirmek, haberdar etmek
advisable	akıllıca, yapılması uygun
advisedly	kasten, bilerek, mahsus
advocate	lehine konuşmak, savunmak
adze	keser
aerial	anten
aerobics	ayrobik, oksijen egzersizi
aeroplane	uçak
aeresol	sprey tüpü
aesthetic	estetik, güzellikle ilgili
affable	nazik, hoş, dost olmaya yakın
affair	yapılacak olan bir şey, vaka, olay, iç mesele, ilişki
affect	etkilemek, duygu uyandırmak
affected	yapmacıklı, numaradan
affectation	yapmacıklı davranış
affection	sevgi, muhabbet, sevecenlik
affectionate	sevecen
affectionately	sevgiyle, sevgilerimle
affiliate	yakın ilişki kurmak
affinity	yakın ilişki, yakın benzerlik
affirmation	doğrulama, tastik
affirmative	doğrulayan, olumlu
affix	kök sözcüğün başına yada sonuna eklenen hece
afflict	hasta etme, başına bela olma, musallat olma
affliction	ızdırap, eziyet
affluent	zengin, parası bol, servet sahibi
affluence	bolluk, zenginlik
afford	yeterince parası vakti olmak, gücü yetmek, vermek, sağlamak, temin etmek
affront	kasten, herkesin önünde yapılan hareket, hakaret etmek
afloat	yüzmekte
afoot	devam etmekte, ilerlemekte
afraid	korkulu, korkmuş
afresh	yeniden, sil baştan
after	sonra, bir sonraki, rütbece küçük, peşine düşerek, ardından koşarak
aftermath	sonraki dönem, bir şeyin bitimindeki durum
afternoon	öğleden sonra
aftershave	traş losyonu
afterwards	daha sonra, ondan sonra
again	gene, yine, bir daha, yeniden, eskisi gibi
against	karşı, zıt, aykırı, dayalı, dayanacak biçimde
age	yaş, dönem, çağ, çok yaşlı, kocamış
ageless	yaşlanmayan
agenda	gündem
agent	acente, mümessil
agency	acente, acentelik
aggravate	ağırlaştırmak, kötüleştirmek, canını sıkmak, sinirlendirmek
aggravation	şiddetlendirme, kızdırma
aggregate	toplam, yekün
aggression	saldırı, savaşa başlama
aggressive	saldırgan, çaçaron
aggrieved	hakarete uğramış, duyguları incinmiş
agile	çevik, atak, kıvrak
agitate	bir davayı kamuoyunda tartışmak, savunmak
agitator	kışkırtıcı, tahrikçi
agnostic	agnostik, bilinemezci
ago	önce, evvel, eskiden
agony	şiddetli bir acı çekme, kıvranma
agonizing	ızdırap çektiren
agony aunt	gazetede dert köşesinde yazan, Güzin Abla
agony column	dergi veya gazetedeki dert köşesi
agree	aynı fikirde olmak, uyuşmak, razı olmak, kabul etmek, yapmak için istekli olduğunu söylemek, sağlığa uymak, bünyesine iyi gelmek
agreement	anlaşma
agreable	hoş, tatlı
agreably	tatlılıkla, hoş bir şekilde
agriculture	tarım, ziraat
agricultural	tarımsal, zirai
aground	karaya oturmuş, karaya vurmuş
ahead	önde, ilerde, öne ileriye doğru
ahoy	hey! hu!
aid	yardım, destek
ailment	hastalık, rahatsızlık
aim	nişan almak, yöneltmek, amaçlamak, söz atma, hedef, maksat
aimless	amaçsız, gayesiz
aimlessly	rastgele, gayesiz bir şekilde
air	hava, gökyüzü, havalandırmak
aircraft	uçucu araç
airforce	hava kuvvetleri
airline	hava yolu, uçak şirketi
airlock	basınç odası
airmail	hava postası
airport	sivil havalimanı
airstrip	uçak pisti, küçük toprak pist
airtight	hava geçirmez
airy	havadar, esintili, yapmacıklı, havalı
aisle	bir kilise, sınıf, tiyatroda koridor
ajar	aralık, yarı açık
alarm	panik, ani korku, alarm, tehlike işareti
alarmist	panik yaratan kimse
alas	tüh! eyvah! yazık!
album	albüm
alcohol	alkol
alcoholic	alkollü, alkolik, ayyaş
alcoholism	ayyaşlık, alkolizm
alcove	cumba, bir odada yapılan çıkma, bölme
alderman	yerel yönetim üyesi
ale	bir tür bira
alert	uyanık, tetik, alarm, uyarı, ikaz
algebra	cebir
alias	takma ad
alibi	savunma kanıtı
alien	yabancı, ecnebi, uzaylı
alienate	yabancılaştırmak, düşman haline getirmek
alight	tutuşmuk, alevler içinde, inmek
align	sıraya dizmek
alignment	sıraya dizme
alike	eşit olarak, benzer
alimony	nafaka
alive	canlı, diri, sağ, faal, hayat dolu
all	hepsi, tamamı, tümüyle
allay	yatıştırmak, teskin etmek, sakinleştirmek
allege	iddia etmek
allegation	suçlama, kanıtsız iddia
allegiance	bağlılık, sadakat
allegory	alegori, öykü
allergy	alerji, aşırı duyarlılık
allergic	alerjik, bir şeye karşı antipati duyan
alleviate	yatıştırmak, dindirmek
alleviation	yatıştırma, teskin
alley	dar sokak
alley cat	sokak kedisi
alliance	anlaşma, bağlaşma, birleşme, ittifak
allied	müttefik
alligator	timsah
alliteration	aliterasyon, hece yinelemesi
allocate	ayırmak, tahsis etmek
allocation	ayırma, tahsisat
allot	pay etmek, bölüştürmek
allow	izin vermek, müsade etmek, vermek, hesaba katmak
allowance	ödenek
alloy	alaşım
allude	ima etmek, taş atmak
allusion	ima, taş
allure	ayartmak, aklını çelmek, baştan çıkarmak, çekicilik, cazibe, albeni
alluring	alımlı, çekici
ally	müttefik
almighty	kadiri mutlak, her şeyi yapabilecek gücü olan
almond	badem
almond paste	badem ezmesi
almost	az daha, hemen hemen, neredeyse
alms	zekat
alone	yalnız, tek başına
along	boyunca, uzunluğuna
alongside	yanında, bordasında
aloof	ayrı, uzak duran, katılmayan
aloud	duyabilecek bir sesle
alphabet	abece
alphabetical	abece sırasına göre dizilmiş
already	çoktan, şimdiden, zaten, önceden
alright	sağlığı yerinde, sağlam, tamam, kabul
also	hem, hem de, dahi, keza, üstelik, ayrıca
altar	sunak, kurbantaşı
alter	değiştirmek, değişmek, başkalaşmak
alteration	değişiklik, düzeltme
alter ego	bir kimsenin ikinci kişiliği, çok yakın dost
alternate	birbiri ardına sırayla gelen, nöbetleşe
alternating current	alternatif akım
alternative	başka, öbür, öteki, diğer, şık, seçenek, alternatif
alternatively	yoksa, aksi takdirde
although	her ne kadar, ise de, olmasına rağmen, olduğu halde
altimeter	altimetre, yükseklik ölçer
altitude	deniz seviyesinden yükseklik, irtifa
altogether	tamamen, büsbütün, her şeyi hesaba katarak
aluminium	alüminyum
always	her zaman, daima, ebediyen
amalgam	iki maddenin birbirine karışması, karışım
amalgamate	birleşmek, birbirine katılmak, tek bir birim oluşturmak
amass	yığmak, toplamak, biriktirmek
amateur	amatör, bir işi para beklemeksizin yapan kişi, acemi, yeni hevesli
amateurish	amatörce
amaze	hayretler içinde bırakmak
amazement	şaşkınlık, hayret
amazed	şaşmış, hayretler içinde kalmış
amazing	şaşırtıcı, hayret verici, garip, acayip
ambassador	büyük elçi, sefir
amber	kehribar, kehribar renginde
ambigous	iki veya daha fazla anlama çekilebilecek, belirsiz, kesin olmayan
ambition	tutku, ihtiras, hırs ve tutkuyla arzulanan şey
ambitious	hırslı, ihtiraslı, istekli, büyük bir çaba ve beceri gerektiren
amble	ağırdan alarak yürümek
ambulance	ambülans, hasta taşıma aracı
ambush	pusu kurmak, pusuya yatma, pusu
ameliorate	daha iyi yada daha hoş yapmak
amelioration	düzelme, iyileşme
amen	amin
amenable	uysal, yumuşak, söz dinler
amend	ıslah etmek, düzeltmek
amendment	değişiklik
amenity	hayatı daha zevkli hale getiren durum
amiable	sevimli, tatlı ve arkadaşlık dolu
amicable	arkadaşça, dostça, patırtısız gürültüsüz
amid	ortasında
amiss	yanlış, hatalı, kusurlu
ammunition	cephane, mühimmat
amnesia	bellek yitimi, amnezi
amnesty	genel af
amok	bkz. amuck
among	arasında, ortasında, çevrilmiş, kuşaltılmış
amoral	doğru yanlış kavramı bulunmayan, ahlak kavramı olmayan
amorous	aşka eğilimli, kolayca aşık olan, aşkla ilgili olan
amorously	aşıkane
amorphous	amorf, şekilsiz, özel bir biçimi olmayan
amount	miktar, meblağ, aynı anlama gelmek, eşit düşmek
amphibious	hem karada hem suda hareket edebilen, amfibik
ample	yeterinden, gereğinden fazla, geniş, ferah, yeterince büyük
amplify	gücünü arttırmak, yükseltmek
amplifier	amplifikatör, yükselteç
amputate	vücudun bir uzantısını kesmek
amuck	run amuck sözünde cinnet getirmek, zıvanadan çıkmak
amuse	eğlendirmek, neşelendirmek
amusement	eğlenme, zevk alma, eğlence
amusing	eğlenceli
anaemia	anemi, kansızlık
anesthetic	narkoz ilacı, uyuşturucu madde
anagram	çevrik söz
analogy	bir şeyi başka bir şey ile karşılaştırarak açıklama, bir ölçüde benzerlik
analyse	analiz etmek, ayrıştırmak, tahlil etmek
anlysis	analiz, ayrıştırma, çözümleme
anarchy	hükümet ve yasaların bulunmayışı, anarşi
anarchist	anarşist, kargaşaya inanan birisi
anatomy	anatomi, vücut yapısı bilimi, vücut
ancestor	ata, cet, soy
ancestral	atalara ait, atalardan kalma
ancestry	soy sop, atalar, ecdat
anchor	çapa, demir
anchorage	demirleme yeri
ancient	eskilerden kalma, eski, uzun zaman önceki
and	ve
anecdote	fıkra, anekdot
angel	melek, çok iyi birisi
angelic	melek gibi, çok terbiyeli
anger	kızgınlık, öfke, hiddet
angle	açı, iki çizgi veya yüzey arasındaki açıklık, dolaylı yoldan bir şeyi istemek
angler	spor amacıyla oltayla balık tutan kimse
angling	balık avlama sporu
anglo	İngiliz, Britanya ile ilgili anlamında önek
angry	kızgın, öfkeli, bozuk çalan, iltihaplı, kızarmış
angrily	öfkeyle
anguish	çok büyük acı, keder, elem
animal	hayvan
animal kingdom	hayvanlar alemi
animate	canlandırmak, hayat vermek, kımıldatmak, heyecan katmak, canlı, yaşayan
animated	hareketli, görüş ve fikirlerle dolu
animosity	düşmanlık, kin, husumet
aniseed	anason
ankle	ayak bileği
annex	ek bina, müştemilat, eklemek, katmak, ilhak etmek, kendi yönetimi altına almak
annihilate	yok etmek, imha etmek, tümüyle ortadan kaldırmak
anniversary	yıl dönümü
annotate	açıklama amacıyla notlar koymak, yazmak
annotation	not
announce	ilan etmek, haber vermek, bildirmek
announcement	bildiri, ilan
announcer	spiker, ilan eden, haber veren kimse
annoy	canını sıkmak, rahatsız etmek, epeyce kızdırmak
annoyance	rahatsızlık, sıkıntı
annoying	can sıkıcı, rahatsız edici
annual	her yıl yapılan, senelik, mevsimlik, yalnızda bir yıl süren, yıllık
annually	yılda bir, her sene
annuity	yıllık ödenek
annul	iptal etmek, yürürlükten kaldırmak, feshetmek
anode	anot, pozitif elektrot
anoint	birisinin başına vücuduna yağ sürmek
anomalous	düzensiz, anomal, kuraldışı
anomaly	kural dışılık, uymazlık
anonymous	yapanın adı bilinmeyen, imzasız, isimsiz
anonymity	adını koymama, imza koymama
anorak	anorak, başlıklı kısa bir tür palto
another	bir tane daha, başka bir tane, öbürüsü, diğer
answer	cevap vermek, tatmin etmek, gereksinimini karşılamak, cevap, karşılık, çözüm, sonuç
answerable	cevaplanabilir, sorumlu, mesul
answering machine	tele sekreter
ant	karınca
antagonism	düşmanlık, zıtlık
antagonist	düşman, hasım, rakip
antagonistic	muhalif, nefret dolu
antagonize	kendine düşman etmek, karşıtlık yaratmak
ante	bir şeyden önce, evvel anlamında önek
antecedent	önce gelen şey, bir zamirin yerini tuttuğu isim cümleciği, geçmişe ait tarihsel kayıtlar, soyu sopu
antelope	antilop, ceylan, gazal
antenatal	bebeğin doğum öncesi
antenna	duyarga, anten
anteroom	ön oda, bekleme odası
anthem	marş, ilahi
anthology	dermece, seçme parçalardan oluşan kitap, güldeste
anthropology	insanbilim
anti	karşıtlık zıtlık belirten önek
anti-aircraft	uçaksavar
antibiotic	antibiyotik
antic	komik veya tuhaf hareket, maskaralık, soytarılık
anticipate	beklemek, olacağından endişe etmek, davranmak, önce davranıp eyleme geçmek
anticipation	umma, evvelden sezinleme
anticlimax	ani düşüş
anticlockwise	saat yönünün tersine
anticyclone	yüksek basınçlı atmosfer kütlesi
antidote	panzehir, deva, çare
antifreeze	antifriz, sıvıya katılan donma önleyici
antipathy	nefret, tiksinme, antipati
antiquated	çok eski, modası geçmiş, köhne
antique	çok eski, antika eşya
antique shop	antikacı
antiseptic	arıtkan, mikrop üremesini durduran
anti-social	insanlara sokulmayan, antisosyal
antithesis	antitez, taban tabana zıt oluş
antler	geyik boynuzu
antonym	karşıt, zıt anlama gelen sözcük
anus	anüs, makat
anvil	örs
anxiety	endişe, korku
anxious	endişeli, kaygılı, merak içinde, bir şey yapmaya hevesli
any	herhangi bir, hangisi olursa olsun, hiç, herhangi birisi
anybody	herhangi biri
anyhow	her şeye rağmen, gene de
anyone	herhangi birisi, hiç kimse, rastgele birisi
anything	herhangi bir şey, hiçbir şey
anyway	herşeye rağmen, yine de
anywhere	herhangi bir yere, hiçbir yere
apart	birbirlerinden ayrı, uzak, parça parça
apartheid	ırk ayırımı
apartment	apartman dairesi
apathy	ilgisizlik, kayıtsızlık
apathetic	ilgisiz, kayıtsız
ape	iri, kuyruksuz bir maymun, birisinin taklidini yapmak
aperitif	yemek öncesi, aperatif
aperture	ufak delik, menfez
apex	tepe, doruk, zirve
apiece	adam başına, her biri
aplomb	kendine güven
apology	özür dileme
apologize	özür dilemek, af dilemek
apologetic	utanmış, mahçup
apostle	havari, mürid
apostrophe	kesme işareti, tepeden virgül
appal	şoke etmek, derinden sarsmak
appalling	müthiş, dehşet verici
apparatus	aygıt, cihaz, bir dizi makina
apparent	açık seçik, kolayca görülebilir, besbelli, görünüşte, sözde
apparently	galiba, görünüşe göre
apparation	hayalet, bir tür görüntü
appeal	bütün samimiyetiyle istemek, yalvarıp yakarmak, ilgisini çekmek, hoşuna gitmek, temyiz için daha yüksek bir yere başvurmak
appealing	çekici, albenili
appear	ortaya çıkmak, görünmek, sahneye çıkmak
appease	yatıştırmak, sakınleştirmek
appendicitis	apandisit, kör bağırsağın iltahaplanması
appendix	apandis, kör bağırsak, ek, ilave
appetite	iştah, güçlü bir istek
appetizing	iştah açıcı
applaud	alkışlamak
applause	alkış
apple	elma
appliance	alet, aygıt, araç
applicable	uygulanabilir, tatbik edilebilir
applicant	başvuran, müracaat eden kimse
application	başvuru, müracaat, kullanım olanağı, uygulama, tatbik etme, üstüne sürme
apply	başvurmak, tatbik etmek, uygulamak, etkisi ilişkisi olmak, geçerli olmak
applied	uygulamalı, tatbiki
appoint	atamak, tayin etmek, görevlendirmek, kararlaştırmak
appointment	iş, görev, memuriyet, randevu, buluşma, görüşme
appreciable	hissedilir, farkedilir, sezilebilir
apposite	uygun, yerinde, münasip
apposition	bağlaçsız isim açıklayan
appreciate	takdir etmek, kadrini bilmek, müteşekkir olmak, anlayıp sevmek, değerlenmek
appreciation	takdir
appreciative	kadirşinas, takdir eden, anlayan, anlayış gösteren
apprehend	tutuklamak, yakalamak, anlamak, kavramak
apprehension	korku, endişe
apprehensive	endişe içinde, vesveseli
apprentice	çırak, yamak
apprenticeship	çıraklık süresi
approach	yaklaşmak, yakınına gitmek, bir konuyu açmak, yaklaşım, tutum
approachable	dostça davranan, araya mesafe koymayan
appropriate	uygun, münasip, yerinde, çalmak, iç etmek
appropriately	uygun bir şekilde
appropriation	ödenek, tahsisat
approve	beğenmek, uygun görmek, onaylamak
approval	onaylama
approximate	yaklaşık, aşağı yukarı, yaklaşmak
approximately	yaklaşık olarak, takriben
appricot	kayısı, zerdali
april	Nisan
apron	önlük
apt	eğilimli, meyyal, tam yerinde, çok uygun
aptitude	yetenek, kolayca ve çabucak öğrenme yeteneği
aqualung	skuba aleti, dalış yapan kişiye oksijen sağlayan tertibat
aquarium	akvaryum
aquatic	suda yaşayan
aqueduct	su kemeri, su yolu
aquiline	kartal gagası gibi kıvrık, kartal gibi
arable	sürülebilir, işlenebilir, ürün almaya müsait arazi
arbitrate	hakemlik yapmak
arbitrator	hakem
arbitration	hakem kararıyla çözüm
arbiter	hakem, son söz sahibi
arbitrary	keyfi, kişinin keyfine kalmış, subjektif, öznel
arc	kavis, yay
arcade	üstü kapalı geçit veya sokak
arch	bir bina yada köprünün yay biçiminde kemeri, ayak tabanındaki kemer, yay biçimine getirmek, sırtını kabartmak, başlıca birinci anlamında önek
archway	kemer veya tak altından olan giriş
archeology	kazıbilim, arkeoloji
archeologist	arkeolog
archaic	konuşulan ve yazılan dilde kullanımdan düşmüş, eskimiş
archbishop	baş piskopos
archer	okçu
archery	okçuluk
archipelago	takım adalar, adalar denizi
architect	mimar
architecture	mimarlık, inşaat veya yapı üslubu
archives	arşiv binası, arşiv, eski belge ve yazılar
arctic	kuzey kutbuna ait, çok soğuk, buz gibi, dondurucu
ardent	coşkun, heyecanlı, ateşli
arduous	zor, güç, çetin, çok gayret isteyen
area	yüzölçümü, alan, bölge, belli bir konu
arena	oyun alanı, etrafı çevrili alan
argue	düşüncesini kuvvetle savunmak, kanıtlamaya çalışmak
argument	birisini ikna etmek için akıl yolunun kullanılması, bir şeyi desteklemek için ileri sürülen sebep, neden
argumentative	tartışma meraklısı, münakaşacı
argy-bargy	hırıltı dırıltı, ağız kavgası, atışma
aria	arya, şan solosu
arid	kurak, çorak, kıraç
aridity	kuraklık
arise	baş göstermek, ortaya çıkmak
aristocracy	aristokrasi, soylular sınıfı
aristocrat	soylu
arithmetic	aritmetik, dört işlem
ark	Nuh'un gemisi
arm	kol, savaş silahları, askeri kuvvetler, silahlanmak, donanmak
armful	kucak dolusu
armchair	koltuk
armpit	koltuk altı
armistice	ateşkes
armour	zırh
armor	zırh
army	ordu, kalabalık, büyük bir topluluk
aroma	koku, rayiha
aromatic	hoş kokulu, mis gibi
around	etrafta, civarda, her bir yana, baştan başa, çevresinde, çepeçevre, aşağı yukarı, yaklaşık
arouse	uyandırmak, kaldırmak, canlandırmak
arrange	düzenlemek, sıraya koymak, planlamak, düzenlemek
arrangement	düzenleme, anlaşma, planlama, hazırlık
array	düzenli, tertipli sıralanmış
arrears	emlak ve vergilerde gecikmiş ödeme yükümlülüğü, yarım kalmış iş
arrest	tutuklamak, yakalayıp hapse atmak, durdurmak, sona erdirmek
arrive	varmak, erişmek, zamanı gelmek, doğmak
arrival	geliş, varış, şimdi gelen kişi
arrogant	kibirli, kendini beğenmiş, burnu büyük
arrow	ok, ok işareti
arse	kıç, popo
arsenal	silah deposu, cephanelik
arsenic	arsenik
arson	kundakçılık
art	resim, heykeltraşlık ve mimari, sanat, beceri, ustalık, tarih ve edebiyat gibi bilim konuları
artful	hilekar, kurnaz
artery	atardamar
arthritis	mafsal iltahabı, artrit
artichoke	enginar
article	eşya, nesne, makale, yazı, artikel, harfi tarif
articulate	açık ve seçik ifade etmek, eklemler ile birleştirmek, tane tane iyice anlaşılır, iyi konuşabilen
artifice	akıllıca bir beceri, becerikli bir hile
artificial	yapma, suni, yapay, insan yapısı
artificial person	tüzel kişi
artificial respiration	suni solunum
artillery	tekerlekli cinsten toplar, topçu sınıfı
artisan	zenaatkar, usta
artist	ressam, sanatçı, usta, sanatkar
artistic	sanat yönü olan, estetik güzelliğe sahip, sanat zevki olan
artistry	sanatkarlık
as	çünkü, -diği için, -diği sırada, -makta iken, -diği biçimde, aynen öyle
asap	mümkün olan en kısa zamanda
asbestos	asbest
ascend	yükselmek, tırmanmak
ascent	tırmanış, yokuş, bayır
ascension	yükselme, tırmanış
ascertain	araştırmak, soruşturmak
ascetic	kendini bedensel zevklerden sıyırmış kimse
ascribe	bağlamak, bir şeyle ilgili görmek, atfetmek, yormak, ilgili saymak
ash	düşbudak ağacı, kül
ashtray	kül tablası
ashamed	utanmış, mahçup, suçluluk duyan
ashore	karada, karaya, kıyıya
